productName,productCode,category,buyingPrice,sellingPrice,SKU,barcode,saleCode,subCategory,brand,description,,,,,status,,note
iPhone 15 Pro Case,IP15C-001,Phone Accessories,15000,25000,IP15C-BLK,1.23457E+12,SALE-IP15C,Cases,Apple,Premium silicone case black,,,,,active,,Best selling item
Samsung S24 Ultra Case,SS24C-001,Phone Accessories,12000,20000,SS24C-BLK,1.23457E+12,SALE-SS24C,Cases,Samsung,Rugged armor case,,,,,active,,
USB-C Charging Cable,USBC-001,Chargers & Cables,3000,8000,USBC-1M,1.23457E+12,,Cables,UGREEN,1 meter fast charging cable,,,,,active,,Fast moving item
Wireless Earbuds,WEB-001,Audio,25000,45000,WEB-BLK,1.23457E+12,SALE-WEB,Earbuds,Xiaomi,Bluetooth 5.3 noise cancelling,,,,,active,,New arrival
Tempered Glass Screen Protector,TGSP-001,Screen Protection,2000,5000,TGSP-IP15,1.23457E+12,,Screen Guard,Spigen,9H hardness for iPhone 15 Pro,,,,,active,,
Phone Stand Holder,PSH-001,Accessories,5000,10000,PSH-ADJ,1.23457E+12,,Stands,Baseus,Adjustable aluminum stand,,,,,active,,
Car Phone Mount,CPM-001,Car Accessories,8000,15000,CPM-MAG,1.23457E+12,,Car Mount,Baseus,Magnetic car dashboard mount,,,,,active,,
Power Bank 20000mAh,PB20K-001,Power Banks,20000,35000,PB20K-BLK,1.23457E+12,SALE-PB20K,Portable Charger,Xiaomi,20000mAh fast charging power bank,,,,,active,,Popular during holidays
Wireless Charger Pad,WCP-001,Chargers & Cables,10000,18000,WCP-15W,1.23457E+12,,Wireless Charger,Anker,15W fast wireless charging pad,,,,,active,,
Phone Cleaning Kit,PCK-001,Accessories,1500,4000,PCK-SET,1.23457E+12,,Cleaning,Generic,Screen cleaning spray + microfiber cloth,,,,,active,,
